id,voca_id,type,definition,day
1,1,adj,연례의,1
2,1,adj,매년의,1
3,2,noun,대여,1
4,2,noun,임대,1
5,3,noun,수익(금),1
6,4,verb,배송하다,1
7,4,verb,배달하다,1
8,4,verb,전달하다,1
9,4,verb,(연설이나 강연 등을) 하다,1
10,5,verb,환불하다,1
11,5,noun,환불,1
12,6,verb,동봉하다,1
13,6,verb,둘러싸다,1
14,7,adj,활기찬,1
15,8,adj,이전의,1
16,8,adj,사전의,1
17,9,adj,특별한,1
18,9,adj,예외적인,1
19,10,adj,소중한,1
20,10,adj,가치 있는,1
21,10,adj,귀중한,1
22,11,noun,식견,1
23,11,noun,통찰(력),1
24,12,verb,던져 넣다,1
25,12,verb,던지다,1
26,13,verb,등록하다,1
27,13,verb,기록하다,1
28,13,verb,알아채다,1
29,13,noun,계산대,1
30,14,verb,포기하다,1
31,14,verb,버리다,1
32,15,verb,안심시키다,1
33,16,verb,몹시 감격하게 하다,1
34,16,verb,압도하다,1
35,17,adj,맨발의,1
36,17,adv,맨발로 a. 맨발의,1
37,18,noun,이끼,1
38,19,noun,조각,1
39,19,noun,부분,1
40,20,verb,콧노래를 부르다,1
41,20,verb,윙윙거리다,1
42,20,noun,윙윙거리는 소리,1
43,21,verb,(마음이나 생각이) 산만해지다,1
44,21,verb,떠돌다,1
45,21,verb,돌아다니다,1
46,22,noun,조각품,1
47,22,noun,조각상,1
48,23,noun,전시회,1
49,24,verb,감상하다,1
50,24,verb,이해하다,1
51,24,verb,인정하다,1
52,24,verb,감사하다,1
53,25,verb,탐구하다,1
54,25,verb,둘러보다,1
55,25,verb,탐험하다,1
56,25,verb,답사하다,1
57,26,noun,무의식,1
58,27,adj,얕은,1
59,27,adj,피상적인,1
60,28,noun,눈꺼풀,1
61,29,noun,놀라움,1
62,30,noun,있음,1
63,30,noun,존재함,1
64,30,noun,존재감,1
65,31,noun,널리 퍼짐,2
66,31,noun,유행,2
67,31,noun,보급,2
68,32,noun,포장재,2
69,32,noun,포장,2
70,33,verb,(새로운 낱말이나 어구를) 만들다,2
71,33,noun,동전,2
72,34,adj,부정적인,2
73,34,adj,불리한,2
74,35,verb,줄어들다,2
75,35,verb,작아지다,2
76,36,verb,해석하다,2
77,36,verb,설명하다,2
78,37,verb,표현하다,2
79,38,verb,칭찬하다,2
80,38,noun,칭찬,2
81,39,adj,긍정적인,2
82,39,adj,확신하는,2
83,39,adj,양성의,2
84,40,noun,지속[소요] 시간,2
85,40,noun,지속 (상태),2
86,41,adj,그다음의,2
87,41,adj,그 이후의,2
88,41,adj,뒤의,2
89,42,adj,우울한,2
90,43,adj,계속되는,2
91,43,adj,(계속) 이어지는,2
92,43,adj,지속적인,2
93,44,verb,규정하다,2
94,44,verb,정의하다,2
95,45,verb,부여하다,2
96,45,verb,시행하다,2
97,45,verb,부과하다,2
98,46,verb,권고하다,2
99,46,verb,촉구하다,2
100,46,noun,욕구,2
101,46,noun,충동,2
102,47,noun,변화,2
103,47,noun,차이,2
104,48,verb,극복하다,2
105,49,verb,다루다,2
106,49,verb,해결하다,2
107,49,verb,처리하다,2
108,49,noun,주소,2
109,50,verb,유도하다,2
110,50,verb,촉발하다,2
111,50,verb,자극하다,2
112,50,noun,촉진제,2
113,50,noun,프롬프트,2
114,51,adj,편안한,2
115,52,noun,호사,2
116,52,noun,사치(품),2
117,52,noun,만족,2
118,53,noun,도구,2
119,53,noun,도구 세트,2
120,54,verb,증진하다,2
121,54,verb,촉진하다,2
122,54,verb,홍보하다,2
123,54,verb,승진시키다,2
124,55,verb,다루다,2
125,55,verb,처리하다,2
126,56,adj,윤리적인,2
127,57,noun,위기,2
128,58,verb,어긋나다,2
129,58,verb,모순되다,2
130,58,verb,반박하다,2
131,59,noun,적응(력),2
132,59,noun,순응,2
133,60,noun,좌절,2
134,61,noun,근사치,3
135,61,noun,근접,3
136,62,noun,담론,3
137,62,noun,담화,3
138,63,noun,여론 조사원,3
139,63,noun,여론 조사 기관,3
140,64,noun,방법론,3
141,65,verb,용인하다,3
142,65,verb,참다,3
143,66,noun,(가축의) 우리,3
144,66,noun,펜,3
145,67,noun,가축화,3
146,68,verb,사육하다,3
147,68,verb,번식하다,3
148,69,verb,혼합하다,3
149,69,verb,섞다,3
150,69,noun,조합,3
151,69,noun,혼합,3
152,70,noun,인정,3
153,70,noun,시인,3
154,71,adj,상당한,3
155,72,adj,파생적인,3
156,73,noun,충동,3
157,73,noun,자극,3
158,74,adj,의도적인,3
159,74,adj,신중한,3
160,74,verb,숙고하다,3
161,75,adj,성찰적인,3
162,75,adj,숙고하는,3
163,76,adj,반대의,3
164,76,verb,되돌리다,3
165,76,verb,거꾸로 하다,3
166,76,verb,뒤집다,3
167,76,noun,반대,3
168,77,verb,감지하다,3
169,77,verb,탐지하다,3
170,77,verb,발견하다,3
171,78,adj,집약적인,3
172,78,adj,집중적인,3
173,79,adj,즉각적인,3
174,80,adj,각각의,3
175,80,adj,각자의,3
176,81,verb,묘사하다,3
177,81,verb,표현하다,3
178,81,verb,연기하다,3
179,82,verb,묘사하다,3
180,82,verb,그리다,3
181,83,adj,매우 중요한,3
182,83,adj,결정적인,3
183,84,noun,장벽,3
184,85,verb,선호하다,3
185,85,verb,찬성하다,3
186,85,noun,부탁,3
187,85,noun,호의,3
188,85,noun,친절,3
189,86,verb,고정 관념을 형성하다,3
190,86,noun,고정 관념,3
191,87,verb,평가하다,3
192,88,noun,인상,3
193,89,verb,유지하다,3
194,89,verb,주장하다,3
195,90,adj,수많은,3
196,90,adj,다수의,3
197,91,adj,대가가 큰,4
198,91,adj,많은 비용이 드는,4
199,91,adj,값비싼,4
200,92,noun,굴욕,4
201,92,noun,수치심,4
202,93,noun,제거,4
203,93,noun,배제,4
204,94,noun,등장,4
205,94,noun,출현,4
206,95,noun,결과,4
207,95,noun,영향(력),4
208,96,noun,배제,4
209,96,noun,제외,4
210,97,noun,분석,4
211,98,noun,동기,4
212,99,verb,설명하다,4
213,99,verb,보여 주다,4
214,99,verb,입증하다,4
215,100,verb,지어 주다,4
216,100,verb,건설하다,4
217,100,noun,구성체,4
218,101,adj,중간의,4
219,101,noun,매개체,4
220,101,noun,매체,4
221,102,adj,적절한,4
222,102,adj,적합한,4
223,103,verb,측정하다,4
224,103,verb,측량하다,4
225,103,noun,척도,4
226,103,noun,기준,4
227,103,noun,조치,4
228,104,adj,약간의,4
229,104,adj,작은,4
230,104,adj,경미한,4
231,105,noun,방식,4
232,105,noun,형식,4
233,105,noun,포맷,4
234,106,verb,보다,4
235,106,verb,목격하다,4
236,106,noun,목격자,4
237,106,noun,증인,4
238,107,adj,열대의,4
239,108,verb,특별히 다루다[포함하다],4
240,108,noun,특징,4
241,108,noun,특색,4
242,108,noun,특집 기사,4
243,109,noun,지출,4
244,109,noun,소비,4
245,110,verb,초과하다,4
246,110,verb,넘다,4
247,111,verb,차지하다,4
248,111,verb,구성하다,4
249,112,verb,말하다,4
250,112,verb,보고하다,4
251,112,verb,알리다,4
252,112,verb,보도하다,4
253,112,noun,보고(서),4
254,112,noun,보도,4
255,113,noun,끝자락,4
256,113,noun,경계,4
257,113,noun,가장자리,4
258,113,noun,모서리,4
259,114,noun,조수,4
260,115,adj,공식적인,4
261,115,noun,관리,4
262,115,noun,공무원,4
263,116,verb,조롱하다,4
264,116,verb,비웃다,4
265,116,noun,조롱,4
266,116,noun,비웃음,4
267,117,adj,막대한,4
268,117,adj,엄청난,4
269,117,adj,거대한,4
270,118,verb,거주하다,4
271,118,verb,점령하다,4
272,118,verb,차지하다,4
273,118,verb,가지다,4
274,119,noun,사제,4
275,120,noun,지역,4
276,120,noun,영역,4
277,121,verb,점령하다,5
278,121,verb,급속히 퍼지다,5
279,122,verb,받다,5
280,122,verb,받아들이다,5
281,123,adj,열성적인,5
282,123,adj,열광하는,5
283,123,adj,열정적인,5
284,124,verb,발표하다,5
285,124,verb,출판하다,5
286,124,verb,간행하다,5
287,125,noun,논리학자,5
288,126,verb,설립하다,5
289,126,verb,세우다,5
290,127,noun,장학금,5
291,128,verb,중단시키다,5
292,128,verb,방해하다,5
293,128,verb,가로막다,5
294,129,verb,해독하다,5
295,130,verb,되살리다,5
296,130,verb,재현하다,5
297,131,verb,모으다,5
298,132,noun,장비,5
299,133,adj,최대의,5
300,133,noun,최대,5
301,134,noun,참가비,5
302,134,noun,요금,5
303,135,adj,매력적인,5
304,136,noun,제출,5
305,137,noun,장소,5
306,137,noun,지역,5
307,137,noun,위치,5
308,138,verb,유도하다,5
309,138,verb,설득하다,5
310,139,adj,모호한,5
311,139,adj,애매한,5
312,140,verb,후원하다,5
313,140,noun,스폰서,5
314,140,noun,후원자,5
315,141,adj,친환경적인,5
316,141,adj,생태(학)의,5
317,141,adj,생태계의,5
318,142,adj,의심스러운,5
319,142,verb,~일 것이라고 생각하다,5
320,142,verb,의심하다,5
321,142,noun,용의자,5
322,142,noun,혐의자,5
323,143,verb,전달하다,5
324,144,noun,압축,5
325,145,adj,수직적인,5
326,145,adj,수직의,5
327,146,adj,별개의,5
328,146,adj,독특한,5
329,146,adj,명백한,5
330,147,noun,이해(력),5
331,148,verb,기억하다,5
332,149,adj,실제의,5
333,150,verb,저장하다,5
334,150,noun,상점,5
335,151,adj,근본적인,6
336,152,verb,수반하다,6
337,152,verb,포함하다,6
338,152,verb,관련시키다,6
339,153,noun,수단,6
340,153,noun,방법,6
341,154,verb,얻다,6
342,154,verb,끌어내다,6
