question_id,meaning_id
1,1
1,2096
1,2320
1,2563
1,3104
2,4
2,385
2,2182
2,2269
2,3756
3,5
3,156
3,2148
3,3087
3,3390
4,9
4,1557
4,1694
4,2047
4,3477
5,10
5,1176
5,1306
5,1904
5,2892
6,12
6,1085
6,1465
6,2543
6,3459
7,14
7,754
7,1204
7,1634
7,2256
8,15
8,260
8,1588
8,1589
8,1620
9,17
9,1166
9,1658
9,1935
9,3821
10,19
10,408
10,419
10,3097
10,3423
11,23
11,1920
11,2025
11,2149
11,3475
12,25
12,589
12,1233
12,2650
12,3583
13,29
13,739
13,989
13,1689
13,2907
14,30
14,535
14,1074
14,2083
14,3197
15,32
15,507
15,1681
15,2176
15,2710
16,34
16,1139
16,1455
16,2402
16,3748
17,35
17,181
17,1472
17,1933
17,3105
18,37
18,1856
18,2873
18,3262
18,3387
19,38
19,217
19,3306
19,3837
19,3887
20,41
20,1025
20,1176
20,2245
20,3317
21,44
21,507
21,975
21,2609
21,3162
22,46
22,301
22,2489
22,3603
22,3841
23,48
23,543
23,1576
23,3369
23,3594
24,50
24,667
24,672
24,1064
24,3160
25,33
25,53
25,388
25,1685
25,3420
26,57
26,959
26,1140
26,1208
26,1911
27,58
27,175
27,619
27,1399
27,1420
28,60
28,2619
28,3191
28,3575
28,3909
29,61
29,1444
29,2078
29,2235
29,3273
30,62
30,577
30,1239
30,1368
30,1931
31,67
31,1172
31,1752
31,3267
31,3768
32,68
32,202
32,2529
32,2921
32,3746
33,71
33,639
33,765
33,2756
33,2861
34,72
34,355
34,407
34,1910
34,1934
35,74
35,2186
35,2710
35,3277
35,3357
36,77
36,110
36,1531
36,1979
36,2779
37,78
37,847
37,1097
37,2151
37,2496
38,40
38,79
38,573
38,663
38,3242
39,81
39,563
39,3009
39,3338
39,3854
40,85
40,530
40,2509
40,2862
40,3520
41,86
41,1588
41,2520
41,2688
41,3303
42,89
42,553
42,983
42,1038
42,3200
43,91
43,492
43,1190
43,1210
43,3175
44,93
44,99
44,379
44,3238
44,3626
45,96
45,1467
45,2318
45,2649
45,3882
46,23
46,100
46,1347
46,2331
46,3891
47,103
47,113
47,275
47,1183
47,3395
48,104
48,120
48,2934
48,3247
48,3476
49,108
49,602
49,1225
49,1748
49,3593
50,112
50,257
50,458
50,496
50,2660
51,114
51,1311
51,1532
51,3219
51,3694
52,48
52,115
52,2601
52,3492
52,3858
53,68
53,118
53,2346
53,3120
53,3326
54,121
54,1785
54,1823
54,2407
54,3465
55,125
55,2047
55,2351
55,3655
55,3797
56,126
56,479
56,1940
56,2973
56,3902
57,127
57,974
57,1919
57,2713
57,3232
58,130
58,371
58,3207
58,3244
58,3793
59,132
59,1475
59,1664
59,2788
59,3173
60,133
60,649
60,812
60,2182
60,3494
61,134
61,506
61,1282
61,1419
61,2982
62,136
62,1702
62,3628
62,3665
62,3847
63,139
63,1544
63,2216
63,2896
63,3486
64,140
64,1082
64,1777
64,2683
64,2983
65,141
65,342
65,2136
65,2189
65,3767
66,22
66,143
66,816
66,2950
66,3690
67,145
67,782
67,929
67,1345
67,1438
68,146
68,294
68,2408
68,2441
68,2883
69,64
69,151
69,968
69,2321
69,3270
70,153
70,1201
70,2288
70,2432
70,3621
71,20
71,154
71,1749
71,1906
71,3056
72,155
72,419
72,1770
72,2066
72,2127
73,156
73,2772
73,3062
73,3310
73,3770
74,159
74,706
74,1312
74,1502
74,1591
75,162
75,634
75,1627
75,2231
75,3340
76,166
76,757
76,3295
76,3796
76,3808
77,170
77,1156
77,1609
77,3709
77,3749
78,172
78,1253
78,2228
78,2987
78,3379
79,173
79,328
79,405
79,1773
79,2316
80,174
80,513
80,930
80,1830
80,2568
81,178
81,1512
81,1734
81,3259
81,3572
82,180
82,1219
82,2655
82,3016
82,3784
83,181
83,1481
83,1559
83,1658
83,2511
84,183
84,423
84,2109
84,2458
84,2508
85,119
85,183
85,186
85,321
85,1335
86,189
86,648
86,764
86,1994
86,3288
87,191
87,1289
87,2832
87,3797
87,3808
88,192
88,557
88,601
88,904
88,1354
89,193
89,694
89,1633
89,2062
89,3197
90,196
90,611
90,934
90,957
90,2003
91,199
91,658
91,2464
91,2614
91,3866
92,200
92,577
92,1142
92,2397
92,2658
93,202
93,773
93,2329
93,3143
93,3632
94,204
94,415
94,621
94,1153
94,3603
95,207
95,555
95,1544
95,2366
95,3632
96,208
96,376
96,603
96,621
96,2469
97,210
97,988
97,1007
97,1477
97,3191
98,211
98,816
98,2174
98,2720
98,3178
99,176
99,191
99,214
99,1094
99,1855
100,217
100,700
100,1103
100,2011
100,2252
101,219
101,1351
101,2557
101,2774
101,2941
102,222
102,2287
102,2688
102,3081
102,3877
103,140
103,225
103,3142
103,3729
103,3884
104,230
104,408
104,787
104,2228
104,3124
105,233
105,628
105,1985
105,2174
105,3221
106,212
106,235
106,1693
106,2665
106,3806
107,238
107,281
107,1938
107,2501
107,3279
108,239
108,1693
108,1695
108,2268
108,2358
109,204
109,243
109,1840
109,3529
109,3537
110,245
110,976
110,1226
110,2068
110,3308
111,248
111,648
111,1693
111,1701
111,3620
112,253
112,1269
112,1643
112,2621
112,3108
113,206
113,255
113,1360
113,1476
113,3556
114,259
114,358
114,960
114,2343
114,2439
115,260
115,593
115,1131
115,1592
115,1917
116,263
116,888
116,1287
116,2842
116,3785
117,267
117,593
117,1387
117,3059
117,3354
118,273
118,1390
118,2189
118,2717
118,3559
119,256
119,274
119,1477
119,3292
119,3306
120,276
120,1518
120,1965
120,2723
120,2925
121,277
121,1139
121,1705
121,2344
121,2409
122,279
122,425
122,1815
122,2105
122,2701
123,14
123,281
123,740
123,1413
123,3672
124,284
124,1176
124,1309
124,2271
124,3622
125,152
125,287
125,501
125,1201
125,3366
126,289
126,1168
126,1545
126,2061
126,2890
127,290
127,465
127,614
127,1829
127,3441
128,263
128,291
128,686
128,1174
128,2665
129,148
129,160
129,294
129,497
129,1731
130,296
130,1110
130,1851
130,2740
130,3051
131,297
131,468
131,827
131,1540
131,3719
132,298
132,981
132,1523
132,1703
132,2723
133,300
133,665
133,926
133,1281
133,3451
134,301
134,675
134,942
134,3085
134,3463
135,303
135,625
135,728
135,1951
135,3439
136,304
136,2349
136,2431
136,2744
136,2767
137,306
137,1112
137,1582
137,1642
137,1988
138,34
138,308
138,1301
138,2420
138,2709
139,182
139,196
139,311
139,438
139,3866
140,314
140,524
140,974
140,3507
140,3815
141,317
141,325
141,561
141,2562
141,2568
142,319
142,672
142,1714
142,2790
142,2822
143,323
143,1508
143,1596
143,2068
143,3464
144,324
144,1457
144,2168
144,2807
144,3179
145,2
145,326
145,625
145,1204
145,1634
146,328
146,1480
146,2229
146,3334
146,3490
147,108
147,152
147,330
147,416
147,2996
148,43
148,331
148,1255
148,2262
148,3635
149,332
149,571
149,2378
149,3250
149,3774
150,333
150,1072
150,2892
150,3246
150,3669
151,335
151,597
151,1231
151,2584
151,2864
152,337
152,832
152,1612
152,2617
152,3001
153,339
153,416
153,2193
153,2459
153,3138
154,342
154,565
154,1086
154,3146
154,3358
155,344
155,546
155,560
155,832
155,2905
156,348
156,1151
156,1545
156,1803
156,2407
157,349
157,594
157,1488
157,1924
157,3627
158,280
158,351
158,1580
158,1661
158,3583
159,353
159,1134
159,1811
159,2677
159,3121
160,354
160,566
160,1753
160,2452
160,3440
161,356
161,479
161,1587
161,3250
161,3531
162,359
162,1105
162,1274
162,2920
162,3005
163,363
163,629
163,2738
163,3127
163,3320
164,364
164,1799
164,2131
164,3425
164,3869
165,346
165,368
165,1144
165,1268
165,3032
166,369
166,526
166,571
166,1480
166,3643
167,371
167,2091
167,2450
167,2662
167,3198
168,373
168,1642
168,2847
168,3121
168,3798
169,376
169,1134
169,1224
169,2850
169,3405
170,70
170,379
170,1416
170,1832
170,2242
171,380
171,1534
171,1591
171,1649
171,3565
172,383
172,500
172,2115
172,3221
172,3628
173,66
173,227
